29-03-2023,B09ZVD4V19,"Farmley Premium Mixed Dry Fruits Panchmeva Superfood Tasty & Healthy Snacks Contains Almond,Cashew,Dates,Green and Black Raisins 200 Gm",1912,375,4.1,0,Amazon Retail,99.5,,199,67,FALSE,"Mixed Dried Fruits - 15
",,,,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/S/aplus-media-library-service-media/13b95e93-9ae4-41fa-9227-d88000b4f763.__CR0,0,4042,2500_PT0_SX970_V1___.jpg",,,FALSE,,,,,,,,"Mixed Dried Fruits - 15
",1912,29-03-2023
29-03-2023,B09LD3528Z,Farmley 5-In-1 Seed Mix - 200g | Chia seeds | Pumpkin seeds | Healthy snacks | Mix seeds | Weight loss | High protein | Gluten free | Roasted seeds | Superfood | Vegan |Ready to eat,15213,63,4,0,Connedit Business Solutions pvt ltd.,99.5,,199,10,FALSE,"Mixed Nuts - 126
",,,,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/S/aplus-media-library-service-media/ef244408-b2bb-44c4-8f28-a3efb787603b.__CR0,0,4042,2500_PT0_SX970_V1___.jpg",,,FALSE,,,,,,,,"Mixed Nuts - 126
",15213,29-03-2023
29-03-2023,B09LD3ZB96,Farmley 8-in-1 Berry Mix 200g | Dried Berries | Healthy Snacks | Cranberry | Blueberry | Strawberry | Goji Berry | Black Raisin | Antioxidants | Gluten free| Berries | Kids Snacks | Vegan,4399,163,4.1,0,Amazon Retail,124.5,,249,31,FALSE,"Mixed Dried Fruits - 23
",,,,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/S/aplus-media-library-service-media/b8b8fa43-59f0-4917-a594-eaf9e7226ad2.__CR0,0,4042,2500_PT0_SX970_V1___.jpg",,,FALSE,,,,,,,,"Mixed Dried Fruits - 23
",4399,29-03-2023
29-03-2023,B09LD1S4RX,Farmley 7-In-1 Trail Dry Fruit Mix- 200g | Almond | Cashew | Blueberry | Cranberry | Healthy Snacks | Nuts | Dry fruits | Berries | Superfood | Antioxidants | Vegan | High protein | Roasted seeds,7199,80,4.1,0,Amazon Retail,99.5,,199,31,FALSE,"Mixed Nuts - 64
",,,,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/S/aplus-media-library-service-media/c2026848-9975-4943-8308-f606af5477c0.__CR0,0,4042,2500_PT0_SX970_V1___.jpg",,,FALSE,,,,,,,,"Mixed Nuts - 64
",7199,29-03-2023
29-03-2023,B0BS8RDYBC,"Farmley Peri Peri Masala Party Mixed Nuts 500 g Healthy Snacks Contains Mixed Dry Fruits, Nuts And Seeds",24413,28,4.1,0,Amazon Retail,79.8,,399,27,FALSE,"Mixed Nuts - 208
",,,,,,,FALSE,,,,,,,,"Mixed Nuts - 208
",24413,29-03-2023
29-03-2023,B09TB9R9X1,Farmley Makhana Penne Pasta | High Protein Healthy Diet | Maida Free & Cholesterol Free Pasta 400 grams,6360,206,4,0,Amazon Retail,29.75,,119,83,FALSE,"Short Pasta - 73
",,,,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/S/aplus-media-library-service-media/3886ddf2-e1ed-43b6-a1e7-0dc7e1b6ba81.__CR0,0,2021,1250_PT0_SX970_V1___.jpg",,,FALSE,,,,,,,,"Short Pasta - 73
",6360,29-03-2023
29-03-2023,B09TBC2VVC,Farmley Makhana Macaroni Pasta | High Protein Healthy Diet | Maida Free & Cholesterol Free Pasta 400 grams,19042,128,3.7,0,Amazon Retail,29.75,,119,59,FALSE,"Ready To Eat & Cook - 480
",,,,"https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/S/aplus-media-library-service-media/3886ddf2-e1ed-43b6-a1e7-0dc7e1b6ba81.__CR0,0,2021,1250_PT0_SX970_V1___.jpg",,,FALSE,,,,,,,,"Ready To Eat & Cook - 480
",19042,29-03-2023
29-03-2023,B09J578NDM,"Farmley Prasadam Makhana, 100% Natural & Crunchy (200 g)",664,694,4.1,0,Amazon Retail,75,,150,43,FALSE,"Puffed Snacks - 9
",,,,,,,FALSE,,,,,,,,"Puffed Snacks - 9
",664,29-03-2023
29-03-2023,B08CN8VX1C,"Farmley, Makhana Fox Nuts Handpicked, Premium Phool Makhana,Crispy and Large in Size, 250 g",5156,294,4.1,0,Amazon Retail,96.8,,242,21,FALSE,"Puffed Snacks - 51
",,,,"https://m.media-amazon.com/images/S/aplus-media/sota/a0f452f7-91da-41b2-8242-8c4b104d14e5.__CR0,0,300,300_PT0_SX300_V1___.png",,,FALSE,,,,,,,,"Puffed Snacks - 51
",5156,29-03-2023
29-03-2023,B08Q3K9XKC,"Farmley Cream & Onion Roasted & Flavored Makhana Jar 180 g (Pack of 2, Each 90 g)",617,843,4,0,Amazon Retail,131.11,,236,118,FALSE,"Puffed Snacks - 8
",,,,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/321d0446-d980-4125-96a4-73defbcf1091.__CR0,0,2021,1250_PT0_SX970_V1___.png",,,FALSE,,,,,,,,"Puffed Snacks - 8
",617,29-03-2023
29-03-2023,B0B2WYL9SC,Farmley Roasted & Flavoured Cream Onion Healthy Makhana Snacks 90 gm,617,840,4,0,Amazon Retail,143.33,,129,118,FALSE,"Puffed Snacks - 8
",,,,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/321d0446-d980-4125-96a4-73defbcf1091.__CR0,0,2021,1250_PT0_SX970_V1___.png",,,FALSE,,,,,,,,"Puffed Snacks - 8
",617,29-03-2023
29-03-2023,B0B2S1BNG1,Farmley Roasted & Flavoured Minty Pudina Healthy Makhana Snacks 90 gm,617,843,4,0,Amazon Retail,143.33,,129,118,FALSE,"Puffed Snacks - 8
",,,,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/321d0446-d980-4125-96a4-73defbcf1091.__CR0,0,2021,1250_PT0_SX970_V1___.png",,,FALSE,,,,,,,,"Puffed Snacks - 8
",617,29-03-2023
